,Id,Label,timeset,modularity_class,labeldiff,kingdom,phylum,class,order,family,genus,species,name,abun
263,Zotu639,Zotu639,NA,21,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu639,0.000953
264,Zotu6401,Zotu6401,NA,7,other,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,uncultured,uncultured_bacterium,Zotu6401,0.000132
265,Zotu650,Zotu650,NA,22,other,Bacteria,Planctomycetota,vadinHA49,vadinHA49,vadinHA49,vadinHA49,NA,Zotu650,0.000244
266,Zotu652,Zotu652,NA,7,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu652,0.000445
267,Zotu66,Zotu66,NA,8,other,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,MBNT15,NA,Zotu66,0.000254
268,Zotu660,Zotu660,NA,8,other,Bacteria,Acidobacteriota,Holophagae,Subgroup_7,Subgroup_7,Subgroup_7,Acidobacteria_bacterium,Zotu660,0.000147
269,Zotu68,Zotu68,NA,8,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA,NA,Zotu68,0.002942
270,Zotu682,Zotu682,NA,17,diff,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,NA,NA,Zotu682,0.000162
271,Zotu6852,Zotu6852,NA,7,other,Bacteria,Myxococcota,Myxococcia,Myxococcales,NA,NA,NA,Zotu6852,0.000676
272,Zotu69,Zotu69,NA,22,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,MM2,uncultured_bacterium,Zotu69,0.00098
273,Zotu70,Zotu70,NA,21,other,Bacteria,Nitrospirota,4-29-1,4-29-1,4-29-1,4-29-1,uncultured_bacterium,Zotu70,0.003239
274,Zotu1339,Zotu1339,NA,21,other,Bacteria,Actinobacteriota,Coriobacteriia,CG2-30-50-142,CG2-30-50-142,CG2-30-50-142,Actinobacteria_bacterium,Zotu1339,0.000182
275,Zotu482,Zotu482,NA,21,other,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,uncultured,uncultured_bacterium,Zotu482,0.000347
276,Zotu700,Zotu700,NA,7,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu700,0.000573
277,Zotu702,Zotu702,NA,21,other,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,uncultured,uncultured_bacterium,Zotu702,0.000108
278,Zotu714,Zotu714,NA,7,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Sulfuritalea,NA,Zotu714,0.000573
279,Zotu716,Zotu716,NA,16,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu716,0.000442
280,Zotu724,Zotu724,NA,22,diff,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,SB-5,SB-5,uncultured_soil,Zotu724,0.000361
281,Zotu73,Zotu73,NA,7,other,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,uncultured_soil,Zotu73,0.00433
282,Zotu739,Zotu739,NA,8,diff,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocystis,uncultured_bacterium,Zotu739,0.000174
283,Zotu7399,Zotu7399,NA,16,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Leptothrix,NA,Zotu7399,0.000295
284,Zotu765,Zotu765,NA,19,other,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA,Zotu765,0.000526
285,Zotu77,Zotu77,NA,17,diff,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,NA,NA,Zotu77,0.001806
286,Zotu782,Zotu782,NA,22,other,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,Sva0081_sediment_group,uncultured_bacterium,Zotu782,0.000216
287,Zotu183,Zotu183,NA,22,diff,Bacteria,Planctomycetota,vadinHA49,vadinHA49,vadinHA49,vadinHA49,NA,Zotu183,0.001182
288,Zotu798,Zotu798,NA,8,other,Bacteria,Myxococcota,Polyangia,Polyangiales,BIrii41,BIrii41,uncultured_soil,Zotu798,0.000235
289,Zotu801,Zotu801,NA,22,other,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Bacteriovorax,uncultured_bacterium,Zotu801,0.00022
290,Zotu81,Zotu81,NA,8,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,SC-I-84,NA,Zotu81,0.000179
291,Zotu818,Zotu818,NA,22,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,uncultured,NA,Zotu818,0.000253
292,Zotu824,Zotu824,NA,22,other,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,uncultured,uncultured_bacterium,Zotu824,0.000264
293,Zotu8276,Zotu8276,NA,7,other,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,uncultured_soil,Zotu8276,0.001868
294,Zotu4560,Zotu4560,NA,7,diff,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,uncultured,uncultured_bacterium,Zotu4560,0.000102
295,Zotu84,Zotu84,NA,8,other,Bacteria,Latescibacterota,Latescibacterota,Latescibacterota,Latescibacterota,Latescibacterota,uncultured_bacterium,Zotu84,0.000172
296,Zotu848,Zotu848,NA,0,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,NA,Zotu848,0.000413
297,Zotu851,Zotu851,NA,22,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu851,0.000176
298,Zotu8576,Zotu8576,NA,2,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Sulfuritalea,NA,Zotu8576,0.000105
299,Zotu858,Zotu858,NA,16,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu858,0.000231
300,Zotu86,Zotu86,NA,8,other,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,uncultured_bacterium,Zotu86,0.000102
301,Zotu869,Zotu869,NA,22,diff,Bacteria,Spirochaetota,Leptospirae,Leptospirales,Leptospiraceae,Leptonema,marine_metagenome,Zotu869,0.000207
302,Zotu87,Zotu87,NA,8,other,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobiaceae,NA,Zotu87,0.000345
303,Zotu873,Zotu873,NA,8,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,SB-5,SB-5,uncultured_soil,Zotu873,0.000274
304,Zotu876,Zotu876,NA,21,diff,Bacteria,NA,NA,NA,NA,NA,NA,Zotu876,0.000845
305,Zotu8781,Zotu8781,NA,16,other,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tabrizicola,NA,Zotu8781,0.000214
306,Zotu88,Zotu88,NA,8,other,Bacteria,Bacteroidota,Kryptonia,Kryptoniales,BSV26,BSV26,uncultured_bacterium,Zotu88,0.000176
307,Zotu163,Zotu163,NA,8,other,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,ADurb.Bin063-1,uncultured_Verrucomicrobia,Zotu163,0.000178
308,Zotu884,Zotu884,NA,8,other,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,uncultured,NA,Zotu884,0.000102
309,Zotu899,Zotu899,NA,22,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,SB-5,SB-5,uncultured_bacterium,Zotu899,0.000192
310,Zotu9,Zotu9,NA,10,other,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Afipia,NA,Zotu9,0.015607
311,Zotu902,Zotu902,NA,23,diff,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,uncultured,NA,Zotu902,0.000211
312,Zotu1417,Zotu1417,NA,23,diff,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,uncultured,NA,Zotu1417,0.000121
313,Zotu9076,Zotu9076,NA,7,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu9076,0.000196
314,Zotu92,Zotu92,NA,22,other,Bacteria,Spirochaetota,Leptospirae,Leptospirales,Leptospiraceae,Turneriella,uncultured_bacterium,Zotu92,0.001802
315,Zotu1476,Zotu1476,NA,22,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Sulfuritalea,uncultured_bacterium,Zotu1476,0.000114
316,Zotu9203,Zotu9203,NA,7,other,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,NA,NA,Zotu9203,0.000363
317,Zotu9243,Zotu9243,NA,2,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Sulfuritalea,uncultured_bacterium,Zotu9243,0.000453
318,Zotu93,Zotu93,NA,8,diff,Bacteria,Nitrospirota,4-29-1,4-29-1,4-29-1,4-29-1,NA,Zotu93,0.000343
319,Zotu938,Zotu938,NA,16,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,oc32,uncultured_bacterium,Zotu938,0.000283
320,Zotu1941,Zotu1941,NA,16,other,Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,uncultured,Juncus_effusus,Zotu1941,0.000143
321,Zotu94,Zotu94,NA,22,other,Bacteria,Myxococcota,Polyangia,Polyangiales,BIrii41,BIrii41,NA,Zotu94,0.002141
322,Zotu9486,Zotu9486,NA,7,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu9486,0.000544
323,Zotu968,Zotu968,NA,22,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,SB-5,SB-5,uncultured_bacterium,Zotu968,0.000192
324,Zotu976,Zotu976,NA,24,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chromobacteriaceae,Vogesella,uncultured_bacterium,Zotu976,0.000292
325,Zotu1909,Zotu1909,NA,24,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chromobacteriaceae,Vogesella,uncultured_bacterium,Zotu1909,0.000118
326,Zotu98,Zotu98,NA,8,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Gallionellaceae,NA,NA,Zotu98,0.001753
327,Zotu708,Zotu708,NA,8,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Gallionellaceae,NA,NA,Zotu708,0.000252
328,Zotu9875,Zotu9875,NA,7,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,NA,NA,NA,Zotu9875,0.002398
