"","X","Id","Label","timeset","modularity_class","labeldiff","kingdom","phylum","class","order","family","genus","species","name","abun","module2"
"18",18,"Zotu11141","Zotu11141",NA,1,"diff","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Zotu11141",0.000146,"1"
"19",19,"Zotu1119","Zotu1119",NA,0,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","MND1",NA,"Zotu1119",0.000192,"0"
"20",20,"Zotu113","Zotu113",NA,13,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","SC-I-84","SC-I-84",NA,"Zotu113",0.001578,"13"
"21",21,"Zotu1069","Zotu1069",NA,0,"other","Bacteria","Desulfobacterota","Desulfuromonadia","PB19","PB19","PB19","metagenome","Zotu1069",0.000181,"0"
"22",22,"Zotu114","Zotu114",NA,1,"other","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured",NA,"Zotu114",0.001753,"1"
"23",23,"Zotu1034","Zotu1034",NA,5,"other","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured",NA,"Zotu1034",0.000208,"other"
"24",24,"Zotu1065","Zotu1065",NA,1,"other","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae",NA,NA,"Zotu1065",0.000245,"1"
"25",25,"Zotu1142","Zotu1142",NA,1,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Zotu1142",0.000116,"1"
"26",26,"Zotu1151","Zotu1151",NA,8,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylomonas","Methylomonas_sp.","Zotu1151",0.000159,"8"
"27",27,"Zotu116","Zotu116",NA,6,"other","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_13",NA,"Zotu116",0.00034,"6"
"28",28,"Zotu1161","Zotu1161",NA,0,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","MND1",NA,"Zotu1161",0.00018,"0"
"29",29,"Zotu11729","Zotu11729",NA,1,"diff","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales",NA,NA,NA,"Zotu11729",0.000964,"1"
"30",30,"Zotu11736","Zotu11736",NA,1,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Zoogloea","uncultured_bacterium","Zotu11736",0.000152,"1"
"31",31,"Zotu118","Zotu118",NA,2,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylomicrobium","uncultured_bacterium","Zotu118",0.001758,"2"
"32",32,"Zotu1133","Zotu1133",NA,2,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylomicrobium","uncultured_bacterium","Zotu1133",0.000209,"2"
"33",33,"Zotu1185","Zotu1185",NA,21,"other","Bacteria","TA06","TA06","TA06","TA06","TA06","uncultured_soil","Zotu1185",0.000189,"21"
"34",34,"Zotu1194","Zotu1194",NA,0,"other","Bacteria","MBNT15","MBNT15","MBNT15","MBNT15","MBNT15",NA,"Zotu1194",0.000225,"0"
"35",35,"Zotu1204","Zotu1204",NA,2,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylomicrobium","uncultured_bacterium","Zotu1204",0.000165,"2"
"36",36,"Zotu1205","Zotu1205",NA,1,"other","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae",NA,NA,"Zotu1205",0.00022,"1"
"37",37,"Zotu121","Zotu121",NA,1,"diff","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Dechloromonas",NA,"Zotu121",0.001046,"1"
"38",38,"Zotu117","Zotu117",NA,1,"diff","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Dechloromonas",NA,"Zotu117",0.000733,"1"
"39",39,"Zotu12105","Zotu12105",NA,1,"diff","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales",NA,NA,NA,"Zotu12105",0.00016,"1"
"40",40,"Zotu1220","Zotu1220",NA,0,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","MND1",NA,"Zotu1220",0.000169,"0"
"41",41,"Zotu1225","Zotu1225",NA,1,"other","Bacteria","Chloroflexi","TK10","TK10","TK10","TK10","uncultured_bacterium","Zotu1225",0.000116,"1"
"42",42,"Zotu123","Zotu123",NA,8,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"Zotu123",0.00163,"8"
"43",43,"Zotu1195","Zotu1195",NA,1,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Ellin6067",NA,"Zotu1195",0.000183,"1"
"44",44,"Zotu1244","Zotu1244",NA,0,"other","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium","uncultured_bacterium","Zotu1244",0.000166,"0"
"45",45,"Zotu1245","Zotu1245",NA,0,"other","Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota",NA,"Zotu1245",0.000168,"0"
"46",46,"Zotu1249","Zotu1249",NA,13,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Ellin6067",NA,"Zotu1249",0.000174,"13"
"47",47,"Zotu125","Zotu125",NA,0,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Ectothiorhodospirales","Thioalkalispiraceae","Thioalkalispira-Sulfurivermis","uncultured_bacterium","Zotu125",0.001697,"0"
"48",48,"Zotu1006","Zotu1006",NA,0,"other","Bacteria","Proteobacteria","Gammaproteobacteria","CCD24","CCD24","CCD24",NA,"Zotu1006",0.000213,"0"
"49",49,"Zotu1240","Zotu1240",NA,0,"other","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta","uncultured_soil","Zotu1240",0.000162,"0"
"50",50,"Zotu1256","Zotu1256",NA,0,"other","Bacteria","Chloroflexi","Anaerolineae","SJA-15","SJA-15","SJA-15",NA,"Zotu1256",0.000123,"0"
"51",51,"Zotu1167","Zotu1167",NA,0,"other","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium",NA,"Zotu1167",0.000105,"0"
"52",52,"Zotu127","Zotu127",NA,1,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Zotu127",0.000809,"1"
"53",53,"Zotu1271","Zotu1271",NA,13,"other","Bacteria","Myxococcota","Polyangia","Polyangiales","BIrii41","BIrii41",NA,"Zotu1271",0.000126,"13"
"54",54,"Zotu1250","Zotu1250",NA,13,"diff","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Zotu1250",0.000103,"13"
"55",55,"Zotu12783","Zotu12783",NA,1,"diff","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea",NA,"Zotu12783",0.000168,"1"
"56",56,"Zotu1282","Zotu1282",NA,2,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylomicrobium","uncultured_gamma","Zotu1282",0.000142,"2"
"57",57,"Zotu129","Zotu129",NA,1,"other","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae",NA,NA,"Zotu129",0.001756,"1"
"58",58,"Zotu1213","Zotu1213",NA,1,"other","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae",NA,NA,"Zotu1213",0.000247,"1"
"59",59,"Zotu1291","Zotu1291",NA,13,"other","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Blastococcus",NA,"Zotu1291",0.000113,"13"
"60",60,"Zotu1045","Zotu1045",NA,13,"other","Bacteria","Myxococcota","Polyangia","Polyangiales","BIrii41","BIrii41",NA,"Zotu1045",0.000196,"13"
"61",61,"Zotu1295","Zotu1295",NA,6,"other","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1",NA,"Zotu1295",0.000218,"6"
"62",62,"Zotu1231","Zotu1231",NA,6,"diff","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1","Clostridium_saccharobutylicum","Zotu1231",0.000251,"6"
"63",63,"Zotu13","Zotu13",NA,1,"other","Bacteria","Spirochaetota","Leptospirae","Leptospirales","Leptospiraceae","Leptonema",NA,"Zotu13",0.003382,"1"
"64",64,"Zotu108","Zotu108",NA,1,"other","Bacteria","Acidobacteriota","Holophagae","Holophagales","Holophagaceae","Geothrix","metagenome","Zotu108",0.00084,"1"
"65",65,"Zotu130","Zotu130",NA,1,"other","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes_BD2-2","Bacteroidetes_BD2-2","uncultured_prokaryote","Zotu130",0.00088,"1"
"66",66,"Zotu101","Zotu101",NA,1,"diff","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea","uncultured_bacterium","Zotu101",0.000975,"1"
"67",67,"Zotu1307","Zotu1307",NA,1,"other","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes_BD2-2","Bacteroidetes_BD2-2",NA,"Zotu1307",0.000154,"1"
"68",68,"Zotu103","Zotu103",NA,1,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea","uncultured_bacterium","Zotu103",0.003036,"1"
"69",69,"Zotu1308","Zotu1308",NA,2,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylomicrobium","uncultured_bacterium","Zotu1308",0.000165,"2"
"70",70,"Zotu1317","Zotu1317",NA,8,"other","Bacteria","Acidobacteriota","Holophagae","Holophagales","Holophagaceae","Holophaga","uncultured_bacterium","Zotu1317",0.000216,"8"
"71",71,"Zotu1259","Zotu1259",NA,8,"other","Bacteria","Verrucomicrobiota","Lentisphaeria","Oligosphaerales","Lenti-02","Lenti-02","metagenome","Zotu1259",0.000216,"8"
"72",72,"Zotu132","Zotu132",NA,0,"other","Bacteria","Bacteroidota","SJA-28","SJA-28","SJA-28","SJA-28","uncultured_bacterium","Zotu132",0.00158,"0"
"73",73,"Zotu1323","Zotu1323",NA,1,"other","Bacteria","Myxococcota","Myxococcia","Myxococcales","Anaeromyxobacteraceae","Anaeromyxobacter",NA,"Zotu1323",0.000292,"1"
"74",74,"Zotu13236","Zotu13236",NA,1,"diff","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea",NA,"Zotu13236",0.000322,"1"
"75",75,"Zotu1324","Zotu1324",NA,8,"other","Bacteria","Acidobacteriota","Holophagae","Holophagales","Holophagaceae","uncultured",NA,"Zotu1324",0.00012,"8"
"76",76,"Zotu1325","Zotu1325",NA,2,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylomicrobium","uncultured_gamma","Zotu1325",0.000158,"2"
"77",77,"Zotu133","Zotu133",NA,3,"other","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","Lentimicrobiaceae","uncultured_bacterium","Zotu133",0.001782,"other"
"78",78,"Zotu1202","Zotu1202",NA,3,"other","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae","uncultured","uncultured_bacterium","Zotu1202",0.000157,"other"
"79",79,"Zotu134","Zotu134",NA,8,"other","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae","Citrifermentans",NA,"Zotu134",0.001748,"8"
"80",80,"Zotu1347","Zotu1347",NA,13,"other","Bacteria","Myxococcota","Polyangia","Polyangiales","BIrii41","BIrii41",NA,"Zotu1347",0.000135,"13"
"81",81,"Zotu135","Zotu135",NA,13,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Ellin6067","uncultured_soil","Zotu135",0.001523,"13"
"82",82,"Zotu1355","Zotu1355",NA,13,"other","Bacteria","Myxococcota","Polyangia","Polyangiales","BIrii41","BIrii41",NA,"Zotu1355",0.000112,"13"
"83",83,"Zotu1374","Zotu1374",NA,0,"other","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","SWB02",NA,"Zotu1374",0.000127,"0"
"84",84,"Zotu1386","Zotu1386",NA,1,"other","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42","uncultured_soil","Zotu1386",0.000104,"1"
"85",85,"Zotu1389","Zotu1389",NA,8,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylomonas","Methylomonas_sp.","Zotu1389",0.000128,"8"
"86",86,"Zotu1390","Zotu1390",NA,5,"other","Bacteria","Nitrospirota","Thermodesulfovibrionia","uncultured","uncultured","uncultured",NA,"Zotu1390",0.000138,"other"
"87",87,"Zotu1398","Zotu1398",NA,0,"other","Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_13","Subgroup_13","Subgroup_13","uncultured_Acidobacterium","Zotu1398",0.000163,"0"
"88",88,"Zotu14","Zotu14",NA,0,"other","Bacteria","MBNT15","MBNT15","MBNT15","MBNT15","MBNT15","uncultured_prokaryote","Zotu14",0.015155,"0"
"89",89,"Zotu1279","Zotu1279",NA,0,"other","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium",NA,"Zotu1279",0.000138,"0"
"90",90,"Zotu140","Zotu140",NA,1,"other","Bacteria","Myxococcota","Myxococcia","Myxococcales","Anaeromyxobacteraceae","Anaeromyxobacter",NA,"Zotu140",0.000732,"1"
"91",91,"Zotu14053","Zotu14053",NA,1,"other","Bacteria","Myxococcota","Myxococcia","Myxococcales","Anaeromyxobacteraceae","Anaeromyxobacter",NA,"Zotu14053",0.00012,"1"
"92",92,"Zotu1408","Zotu1408",NA,21,"other","Bacteria","TA06","TA06","TA06","TA06","TA06","uncultured_soil","Zotu1408",0.000155,"21"
"93",93,"Zotu141","Zotu141",NA,0,"other","Bacteria","Bacteroidota","SJA-28","SJA-28","SJA-28","SJA-28","uncultured_bacterium","Zotu141",0.001363,"0"
"94",94,"Zotu1410","Zotu1410",NA,13,"other","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium",NA,"Zotu1410",0.000104,"13"
"95",95,"Zotu1412","Zotu1412",NA,0,"other","Bacteria","Chloroflexi","Anaerolineae","SJA-15","SJA-15","SJA-15","uncultured_bacterium","Zotu1412",0.000111,"0"
"96",96,"Zotu1417","Zotu1417",NA,1,"other","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae","uncultured",NA,"Zotu1417",0.000361,"1"
"97",97,"Zotu14179","Zotu14179",NA,1,"diff","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales",NA,NA,NA,"Zotu14179",0.000265,"1"
"98",98,"Zotu143","Zotu143",NA,8,"diff","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas",NA,"Zotu143",0.001385,"8"
"99",99,"Zotu1435","Zotu1435",NA,5,"other","Bacteria","Actinobacteriota","Actinobacteria","PeM15","PeM15","PeM15",NA,"Zotu1435",0.000124,"other"
"100",100,"Zotu144","Zotu144",NA,1,"diff","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Zotu144",0.000705,"1"
"101",101,"Zotu1443","Zotu1443",NA,6,"diff","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1",NA,"Zotu1443",0.000101,"6"
"102",102,"Zotu105","Zotu105",NA,6,"diff","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1",NA,"Zotu105",0.000889,"6"
"103",103,"Zotu145","Zotu145",NA,0,"other","Bacteria","Bacteroidota","SJA-28","SJA-28","SJA-28","SJA-28","uncultured_bacterium","Zotu145",0.001263,"0"
"104",104,"Zotu1397","Zotu1397",NA,6,"other","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_12","Clostridium_magnum","Zotu1397",0.00014,"6"
"105",105,"Zotu1451","Zotu1451",NA,1,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Zotu1451",0.000111,"1"
"106",106,"Zotu14682","Zotu14682",NA,1,"diff","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Zotu14682",0.000926,"1"
"107",107,"Zotu1472","Zotu1472",NA,21,"other","Bacteria","Desulfobacterota","Desulfobacteria","Desulfatiglandales","Desulfatiglandaceae","Desulfatiglans",NA,"Zotu1472",0.000165,"21"
"108",108,"Zotu1241","Zotu1241",NA,21,"other","Bacteria","Bacteroidota","Kryptonia","Kryptoniales","BSV26","BSV26","Ignavibacteria_bacterium","Zotu1241",0.000193,"21"
"109",109,"Zotu1474","Zotu1474",NA,13,"other","Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae",NA,NA,"Zotu1474",0.000141,"13"
"110",110,"Zotu1475","Zotu1475",NA,1,"other","Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","Minicystis","uncultured_bacterium","Zotu1475",0.00011,"1"
"111",111,"Zotu1479","Zotu1479",NA,0,"other","Bacteria","Myxococcota","Myxococcia","Myxococcales","Anaeromyxobacteraceae","Anaeromyxobacter",NA,"Zotu1479",0.00012,"0"
"112",112,"Zotu1485","Zotu1485",NA,0,"other","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","SB-5","SB-5","uncultured_bacterium","Zotu1485",0.000124,"0"
"113",113,"Zotu1031","Zotu1031",NA,1,"other","Bacteria","Desulfobacterota","uncultured","uncultured","uncultured","uncultured","Myxococcales_bacterium","Zotu1031",0.000185,"1"
"114",114,"Zotu149","Zotu149",NA,4,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Candidatus_Methylospira","uncultured_bacterium","Zotu149",0.001475,"other"
"115",115,"Zotu112","Zotu112",NA,4,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Candidatus_Methylospira","uncultured_bacterium","Zotu112",0.00193,"other"
"116",116,"Zotu14902","Zotu14902",NA,1,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","uncultured",NA,"Zotu14902",0.000129,"1"
"117",117,"Zotu1529","Zotu1529",NA,6,"other","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_12","Clostridium_magnum","Zotu1529",0.000102,"6"
"118",118,"Zotu15394","Zotu15394",NA,1,"other","Bacteria","Myxococcota","Myxococcia","Myxococcales","Anaeromyxobacteraceae","Anaeromyxobacter","uncultured_bacterium","Zotu15394",0.00014,"1"
"119",119,"Zotu15453","Zotu15453",NA,1,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Zotu15453",0.000133,"1"
"120",120,"Zotu1552","Zotu1552",NA,8,"other","Bacteria","Verrucomicrobiota","Lentisphaeria","Oligosphaerales","Lenti-02","Lenti-02","metagenome","Zotu1552",0.000185,"8"
"121",121,"Zotu1592","Zotu1592",NA,0,"other","Bacteria","Zixibacteria","Zixibacteria","Zixibacteria","Zixibacteria","Zixibacteria","uncultured_bacterium","Zotu1592",0.000116,"0"
"122",122,"Zotu16","Zotu16",NA,1,"other","Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","Fibrobacterales","BBMC-4","uncultured_microorganism","Zotu16",0.002782,"1"
"123",123,"Zotu160","Zotu160",NA,6,"other","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1",NA,"Zotu160",0.000234,"6"
"124",124,"Zotu16045","Zotu16045",NA,1,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","uncultured",NA,"Zotu16045",0.000248,"1"
"125",125,"Zotu1605","Zotu1605",NA,1,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Tolumonas","uncultured_bacterium","Zotu1605",0.000125,"1"
"126",126,"Zotu161","Zotu161",NA,0,"other","Bacteria","Proteobacteria","Alphaproteobacteria","uncultured","uncultured","uncultured",NA,"Zotu161",0.001153,"0"
"127",127,"Zotu1328","Zotu1328",NA,13,"other","Bacteria","Acidobacteriota","Holophagae","Subgroup_7","Subgroup_7","Subgroup_7","Acidobacteria_bacterium","Zotu1328",0.000138,"13"
"128",128,"Zotu1612","Zotu1612",NA,13,"other","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium",NA,"Zotu1612",0.000117,"13"
"129",129,"Zotu1614","Zotu1614",NA,13,"other","Bacteria","Hydrogenedentes","Hydrogenedentia","Hydrogenedentiales","Hydrogenedensaceae","Hydrogenedensaceae","uncultured_bacterium","Zotu1614",0.000113,"13"
"130",130,"Zotu1252","Zotu1252",NA,13,"other","Bacteria","Myxococcota","Polyangia","mle1-27","mle1-27","mle1-27","uncultured_bacterium","Zotu1252",0.000142,"13"
"131",131,"Zotu16155","Zotu16155",NA,1,"other","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42","uncultured_soil","Zotu16155",0.000138,"1"
"132",132,"Zotu16172","Zotu16172",NA,1,"other","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","uncultured","uncultured_bacterium","Zotu16172",0.000284,"1"
"133",133,"Zotu1634","Zotu1634",NA,0,"other","Bacteria","Desulfobacterota","Desulfuromonadia","PB19","PB19","PB19","metagenome","Zotu1634",0.000111,"0"
"134",134,"Zotu1375","Zotu1375",NA,13,"other","Bacteria","Desulfobacterota","Desulfuromonadia","PB19","PB19","PB19","metagenome","Zotu1375",0.000123,"13"
"135",135,"Zotu1486","Zotu1486",NA,0,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","SC-I-84","SC-I-84",NA,"Zotu1486",0.000121,"0"
"136",136,"Zotu1641","Zotu1641",NA,35,"other","Bacteria","Chloroflexi","Anaerolineae","SJA-15","SJA-15","SJA-15","uncultured_bacterium","Zotu1641",0.000116,"other"
"137",137,"Zotu1129","Zotu1129",NA,35,"other","Bacteria","Chloroflexi","Anaerolineae","SJA-15","SJA-15","SJA-15","uncultured_bacterium","Zotu1129",0.000155,"other"
"138",138,"Zotu16478","Zotu16478",NA,1,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Zotu16478",0.000184,"1"
"139",139,"Zotu165","Zotu165",NA,8,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"Zotu165",0.001522,"8"
"140",140,"Zotu1026","Zotu1026",NA,8,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"Zotu1026",0.000161,"8"
"141",141,"Zotu1659","Zotu1659",NA,1,"other","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","ADurb.Bin063-1","uncultured_Verrucomicrobia","Zotu1659",0.000119,"1"
"142",142,"Zotu16601","Zotu16601",NA,1,"other","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42",NA,"Zotu16601",0.000118,"1"
"143",143,"Zotu16621","Zotu16621",NA,1,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","uncultured","uncultured_bacterium","Zotu16621",0.000867,"1"
"144",144,"Zotu167","Zotu167",NA,13,"other","Bacteria","Nitrospirota","Thermodesulfovibrionia","uncultured","uncultured","uncultured","uncultured_bacterium","Zotu167",0.001161,"13"
