"","X","feature","method","group1","group2","p_values","adj_method","p_adjust","Compartment","Experiment","Variety","Timepoint","logFC","int_all","def_all","level1","level2","level3"
"31",31,"ko00513","LinDA","Defoliation","Intact",0.214345283047832,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.297603286092519,9.93007686153809e-07,1.22050658241685e-06,"Various types of N-glycan biosynthesis","Glycan biosynthesis and metabolism","Metabolism"
"33",33,"ko00510","LinDA","Defoliation","Intact",0.562958521623331,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.145695688061904,0.000417732736018966,0.000377606740538764,"N-Glycan biosynthesis","Glycan biosynthesis and metabolism","Metabolism"
"37",37,"ko00450","LinDA","Defoliation","Intact",0.837677486890122,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0365952196257005,0.0078663457182869,0.00766931843821607,"Selenocompound metabolism","Metabolism of other amino acids","Metabolism"
"38",38,"ko01051","LinDA","Defoliation","Intact",0.730253014689441,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.047386091874222,0.000914348832322768,0.000944879767502314,"Biosynthesis of ansamycins","Metabolism of terpenoids and polyketides","Metabolism"
"39",39,"ko00565","LinDA","Defoliation","Intact",0.626046761905729,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.457210074578512,0.000125860737237715,0.000172792233407384,"Ether lipid metabolism","Lipid metabolism","Metabolism"
"40",40,"ko00524","LinDA","Defoliation","Intact",0.443455817660692,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0797336056155476,0.000817435193909915,0.000773483626866836,"Neomycin, kanamycin and gentamicin biosynthesis","Biosynthesis of other secondary metabolites","Metabolism"
"41",41,"ko00300","LinDA","Defoliation","Intact",0.9672917751683,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.00333999800222086,0.0104183798968895,0.0103942880976857,"Lysine biosynthesis","Amino acid metabolism","Metabolism"
"42",42,"ko00905","LinDA","Defoliation","Intact",0.505176736691823,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-1.21775541693996,1.44917392455465e-08,6.23073962723119e-09,"Brassinosteroid biosynthesis","Metabolism of terpenoids and polyketides","Metabolism"
"45",45,"ko00260","LinDA","Defoliation","Intact",0.959989063238835,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0106658601176272,0.0138845692117805,0.0137822989490831,"Glycine, serine and threonine metabolism","Amino acid metabolism","Metabolism"
"46",46,"ko00190","LinDA","Defoliation","Intact",0.850253423478152,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0165338971512681,0.0255155435717534,0.0258096445667464,"Oxidative phosphorylation","Energy metabolism","Metabolism"
"48",48,"ko00750","LinDA","Defoliation","Intact",0.797856549153239,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0250192543416091,0.00294153637986548,0.00299299347459589,"Vitamin B6 metabolism","Metabolism of cofactors and vitamins","Metabolism"
"49",49,"ko00950","LinDA","Defoliation","Intact",0.664837953381774,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0717355379243971,0.00105005231470794,0.000999117090595479,"Isoquinoline alkaloid biosynthesis","Biosynthesis of other secondary metabolites","Metabolism"
"51",51,"ko00592","LinDA","Defoliation","Intact",0.550944654045699,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0749454984103724,0.00092218011717699,0.000875497501929206,"alpha-Linolenic acid metabolism","Lipid metabolism","Metabolism"
"52",52,"ko00591","LinDA","Defoliation","Intact",0.706287754586564,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0549196914482157,0.000441560296095443,0.000425067148294787,"Linoleic acid metabolism","Lipid metabolism","Metabolism"
"53",53,"ko00590","LinDA","Defoliation","Intact",0.585785485860344,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.060085256057226,0.00130424958738898,0.00125104589909051,"Arachidonic acid metabolism","Lipid metabolism","Metabolism"
"54",54,"ko00062","LinDA","Defoliation","Intact",0.522059663579021,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.193067677027835,0.000228863390135337,0.000200196815453967,"Fatty acid elongation","Lipid metabolism","Metabolism"
"55",55,"ko00061","LinDA","Defoliation","Intact",0.755553770385385,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.041528598596487,0.0101887015337819,0.00989959633977268,"Fatty acid biosynthesis","Lipid metabolism","Metabolism"
"56",56,"ko03070","LinDA","Defoliation","Intact",0.844228866754806,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0285311588342408,0.0188078019107278,0.0184395070789851,"Bacterial secretion system","Membrane transport","Environmental Information Processing"
"57",57,"ko00253","LinDA","Defoliation","Intact",0.943548451747305,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0136584813488944,0.00288982392756389,0.0028625940885776,"Tetracycline biosynthesis","Metabolism of terpenoids and polyketides","Metabolism"
"59",59,"ko04370","LinDA","Defoliation","Intact",0.758095709612033,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.870205620174969,6.21403058287445e-08,3.39950271433541e-08,"VEGF signaling pathway","Signal transduction","Environmental Information Processing"
"61",61,"ko00380","LinDA","Defoliation","Intact",0.814114746520414,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0334850679609486,0.00744626990814169,0.00727543163878132,"Tryptophan metabolism","Amino acid metabolism","Metabolism"
"62",62,"ko00500","LinDA","Defoliation","Intact",0.954147587062149,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0125673796830276,0.00892322624213882,0.00884583320402523,"Starch and sucrose metabolism","Carbohydrate metabolism","Metabolism"
"69",69,"ko00625","LinDA","Defoliation","Intact",0.909174737684327,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0589376245749024,0.00250145666691237,0.00260576338217731,"Chloroalkane and chloroalkene degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"70",70,"ko00624","LinDA","Defoliation","Intact",0.837406548805564,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.176791846430644,0.000319244772816642,0.000360863904481168,"Polycyclic aromatic hydrocarbon degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"71",71,"ko00627","LinDA","Defoliation","Intact",0.84692035962292,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0255814257489719,0.00363962692589183,0.0035756589841021,"Aminobenzoate degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"72",72,"ko00626","LinDA","Defoliation","Intact",0.89656366658194,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.00891146990286821,0.00195796575974847,0.00194590875924589,"Naphthalene degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"73",73,"ko00621","LinDA","Defoliation","Intact",0.174794799549834,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.158598314795166,0.00057580687188774,0.000642716861440275,"Dioxin degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"74",74,"ko00620","LinDA","Defoliation","Intact",0.904913178619892,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.00657764280115166,0.0178486248244891,0.0179301873974197,"Pyruvate metabolism","Carbohydrate metabolism","Metabolism"
"75",75,"ko00623","LinDA","Defoliation","Intact",0.940349235247536,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0128228516952661,0.00324460886111407,0.00321589815799592,"Toluene degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"76",76,"ko00622","LinDA","Defoliation","Intact",0.860915741718432,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0841108894446891,0.000457984813312344,0.000485479591465143,"Xylene degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"77",77,"ko00270","LinDA","Defoliation","Intact",0.874113246923205,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0255163724635091,0.0138485605388185,0.0136057798766019,"Cysteine and methionine metabolism","Amino acid metabolism","Metabolism"
"79",79,"ko00940","LinDA","Defoliation","Intact",0.452794697802567,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0994539135546418,0.000893548754349407,0.000834026101739612,"Phenylpropanoid biosynthesis","Biosynthesis of other secondary metabolites","Metabolism"
"80",80,"ko00941","LinDA","Defoliation","Intact",0.575790462551353,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.16628968782557,0.000489376948581966,0.000436099234816393,"Flavonoid biosynthesis","Biosynthesis of other secondary metabolites","Metabolism"
"81",81,"ko01053","LinDA","Defoliation","Intact",0.196311014870205,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.434823045300987,0.000770377691612462,0.000569913466007905,"Biosynthesis of siderophore group nonribosomal peptides","Metabolism of terpenoids and polyketides","Metabolism"
"82",82,"ko00943","LinDA","Defoliation","Intact",0.22060385307702,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.464493579253358,0.000251266869167573,0.000182099489484034,"Isoflavonoid biosynthesis","Biosynthesis of other secondary metabolites","Metabolism"
"83",83,"ko00100","LinDA","Defoliation","Intact",0.30355174789159,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.256850647421138,0.000703485591491561,0.000588756151145839,"Steroid biosynthesis","Lipid metabolism","Metabolism"
"84",84,"ko00945","LinDA","Defoliation","Intact",0.70375801767293,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0616636704930328,0.000318416503342102,0.000305093499506057,"Stilbenoid, diarylheptanoid and gingerol biosynthesis","Biosynthesis of other secondary metabolites","Metabolism"
"85",85,"ko01056","LinDA","Defoliation","Intact",0.00118753595663335,"BH",0.292133845331804,"Root","Exp1","NIP","day1",-0.96643381175314,1.63787656796772e-06,8.38215338309442e-07,"Biosynthesis of type II polyketide backbone","Metabolism of terpenoids and polyketides","Metabolism"
"88",88,"ko00071","LinDA","Defoliation","Intact",0.804421321654362,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0345879366457112,0.00913554504955667,0.00891912924321661,"Fatty acid degradation","Lipid metabolism","Metabolism"
"89",89,"ko00072","LinDA","Defoliation","Intact",0.647073969278196,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0415726147881922,0.00285362148729427,0.00293704750176775,"Synthesis and degradation of ketone bodies","Lipid metabolism","Metabolism"
"95",95,"ko01055","LinDA","Defoliation","Intact",0.951532946358121,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0141144915341602,0.000848033145547291,0.000839776933946965,"Biosynthesis of vancomycin group antibiotics","Metabolism of terpenoids and polyketides","Metabolism"
"96",96,"ko00902","LinDA","Defoliation","Intact",0.10197853176086,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-2.94368944979686,1.475863371767e-07,1.91825938733972e-08,"Monoterpenoid biosynthesis","Metabolism of terpenoids and polyketides","Metabolism"
"98",98,"ko00531","LinDA","Defoliation","Intact",0.872420264288525,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.119837804827708,7.09122475179578e-05,7.70541482485094e-05,"Glycosaminoglycan degradation","Glycan biosynthesis and metabolism","Metabolism"
"100",100,"ko00360","LinDA","Defoliation","Intact",0.892107889073033,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0216555997240799,0.00593185882601546,0.00602157072564234,"Phenylalanine metabolism","Amino acid metabolism","Metabolism"
"101",101,"ko00633","LinDA","Defoliation","Intact",0.727569504704552,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.130021452538863,0.00125393383622943,0.00137219230281147,"Nitrotoluene degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"102",102,"ko00630","LinDA","Defoliation","Intact",0.479074688841504,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0584840331513903,0.0125753154097303,0.0130955678466448,"Glyoxylate and dicarboxylate metabolism","Carbohydrate metabolism","Metabolism"
"103",103,"ko00363","LinDA","Defoliation","Intact",0.833064843663517,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0122240378614312,0.000634904170955181,0.000640306605674102,"Bisphenol degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"104",104,"ko00364","LinDA","Defoliation","Intact",0.966058921340473,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0166367000945701,0.000595512178216963,0.000588684365038519,"Fluorobenzoate degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"108",108,"ko00121","LinDA","Defoliation","Intact",0.844966387772076,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.167997380144089,2.98390737905733e-06,3.35241356321967e-06,"Secondary bile acid biosynthesis","Lipid metabolism","Metabolism"
"110",110,"ko00430","LinDA","Defoliation","Intact",0.84236314420691,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0261844802021512,0.00185906538715443,0.00182562826536837,"Taurine and hypotaurine metabolism","Metabolism of other amino acids","Metabolism"
"111",111,"ko02010","LinDA","Defoliation","Intact",0.803367013418913,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0301966227312859,0.0413735728392099,0.0422486771687987,"ABC transporters","Membrane transport","Environmental Information Processing"
"112",112,"ko00130","LinDA","Defoliation","Intact",0.885478822579195,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.00942522657461821,0.00564374092506745,0.00568073257817173,"Ubiquinone and other terpenoid-quinone biosynthesis","Metabolism of cofactors and vitamins","Metabolism"
"113",113,"ko04330","LinDA","Defoliation","Intact",0.57637855930691,"BH",0.999592632031329,"Root","Exp1","NIP","day1",1.88729371841585,1.43935787264929e-07,5.32476943556347e-07,"Notch signaling pathway","Signal transduction","Environmental Information Processing"
"115",115,"ko00361","LinDA","Defoliation","Intact",0.64987253589324,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0890015808099994,0.000902450999631541,0.000959877420662967,"Chlorocyclohexane and chlorobenzene degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"116",116,"ko00040","LinDA","Defoliation","Intact",0.687810130477233,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0575357271803916,0.00374568324563059,0.00389808251533857,"Pentose and glucuronate interconversions","Carbohydrate metabolism","Metabolism"
"117",117,"ko00730","LinDA","Defoliation","Intact",0.939262340304853,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0183580791211395,0.00529768301602474,0.00523069788192708,"Thiamine metabolism","Metabolism of cofactors and vitamins","Metabolism"
"118",118,"ko00362","LinDA","Defoliation","Intact",0.860737357344379,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0345634533087948,0.00537906591862704,0.00550949131313677,"Benzoate degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"119",119,"ko01040","LinDA","Defoliation","Intact",0.613209029053226,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0556272552819167,0.00458778699087897,0.00441425861389588,"Biosynthesis of unsaturated fatty acids","Lipid metabolism","Metabolism"
"120",120,"ko00603","LinDA","Defoliation","Intact",0.958526780195532,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0670759064228116,0.000184376765406567,0.000193151485028454,"Glycosphingolipid biosynthesis - globo and isoglobo series","Glycan biosynthesis and metabolism","Metabolism"
"123",123,"ko00281","LinDA","Defoliation","Intact",0.634735757598101,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0739861101456781,0.00418057568258284,0.00397158673620576,"Geraniol degradation","Metabolism of terpenoids and polyketides","Metabolism"
"124",124,"ko00280","LinDA","Defoliation","Intact",0.858777290196096,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0250330011657935,0.0124487703851838,0.0122346280948984,"Valine, leucine and isoleucine degradation","Amino acid metabolism","Metabolism"
"132",132,"ko00523","LinDA","Defoliation","Intact",0.682170752546888,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0401378649158665,0.00286008399385449,0.00294077290830476,"Polyketide sugar unit biosynthesis","Metabolism of terpenoids and polyketides","Metabolism"
"133",133,"ko00520","LinDA","Defoliation","Intact",0.848368901180935,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0300534599307283,0.0157674047335419,0.0154423440003706,"Amino sugar and nucleotide sugar metabolism","Carbohydrate metabolism","Metabolism"
"134",134,"ko00521","LinDA","Defoliation","Intact",0.857648202894094,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0124893132747319,0.00526358558948041,0.00530934989694518,"Streptomycin biosynthesis","Biosynthesis of other secondary metabolites","Metabolism"
"138",138,"ko00052","LinDA","Defoliation","Intact",0.795362187668471,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0372075019598719,0.00495878114626084,0.0048325278677459,"Galactose metabolism","Carbohydrate metabolism","Metabolism"
"139",139,"ko00053","LinDA","Defoliation","Intact",0.387494174426344,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.136635317011833,0.00203743046686766,0.00223982519216908,"Ascorbate and aldarate metabolism","Carbohydrate metabolism","Metabolism"
"140",140,"ko00051","LinDA","Defoliation","Intact",0.837831339065019,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0321942338476242,0.00693680661093197,0.00678372379636726,"Fructose and mannose metabolism","Carbohydrate metabolism","Metabolism"
"141",141,"ko00401","LinDA","Defoliation","Intact",0.787724737580416,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.026018404418031,0.00230452003568305,0.00234645812639961,"Novobiocin biosynthesis","Biosynthesis of other secondary metabolites","Metabolism"
"142",142,"ko00400","LinDA","Defoliation","Intact",0.971460712073865,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.00235470442002094,0.0129559692022461,0.0129348402774706,"Phenylalanine, tyrosine and tryptophan biosynthesis","Amino acid metabolism","Metabolism"
"143",143,"ko04020","LinDA","Defoliation","Intact",0.42607236809021,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.273498347743388,2.99860406752444e-06,2.48077809989696e-06,"Calcium signaling pathway","Signal transduction","Environmental Information Processing"
"144",144,"ko00350","LinDA","Defoliation","Intact",0.945825838379765,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.00665553048423818,0.00490901219077294,0.00488641778746638,"Tyrosine metabolism","Amino acid metabolism","Metabolism"
"145",145,"ko00480","LinDA","Defoliation","Intact",0.950698160192093,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0122088540399627,0.00835712828603707,0.00828670421744808,"Glutathione metabolism","Metabolism of other amino acids","Metabolism"
"146",146,"ko00643","LinDA","Defoliation","Intact",0.857302845343665,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0133123027982738,0.00180904984729865,0.00179243382670734,"Styrene degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"147",147,"ko00642","LinDA","Defoliation","Intact",0.850207079643408,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0395101623768092,0.000911162421262031,0.000936460673557633,"Ethylbenzene degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"148",148,"ko00640","LinDA","Defoliation","Intact",0.974043223708311,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.00748427495783324,0.01269745478147,0.012631754707041,"Propanoate metabolism","Carbohydrate metabolism","Metabolism"
"149",149,"ko00720","LinDA","Defoliation","Intact",0.999304678767883,"BH",0.999966634692203,"Root","Exp1","NIP","day1",-0.00860875681738228,0.0185466758828859,0.0184363348917496,"Carbon fixation pathways in prokaryotes","Energy metabolism","Metabolism"
"150",150,"ko00960","LinDA","Defoliation","Intact",0.857798820265685,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.00956532339049246,0.00208351616556312,0.00209737614267412,"Tropane, piperidine and pyridine alkaloid biosynthesis","Biosynthesis of other secondary metabolites","Metabolism"
"151",151,"ko02020","LinDA","Defoliation","Intact",0.896862457413851,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0200206312079619,0.0446766722162334,0.0440609651708439,"Two-component system","Signal transduction","Environmental Information Processing"
"152",152,"ko00120","LinDA","Defoliation","Intact",0.752812947280815,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.080893155495936,6.55097177973886e-05,6.19376127391462e-05,"Primary bile acid biosynthesis","Lipid metabolism","Metabolism"
"153",153,"ko00965","LinDA","Defoliation","Intact",0.763718992020452,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.2410494409163,1.13597292089037e-05,1.34255192315315e-05,"Betalain biosynthesis","Biosynthesis of other secondary metabolites","Metabolism"
"156",156,"ko00290","LinDA","Defoliation","Intact",0.638006965428775,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0517902697034102,0.0103437642215106,0.0107218329684702,"Valine, leucine and isoleucine biosynthesis","Amino acid metabolism","Metabolism"
"161",161,"ko00980","LinDA","Defoliation","Intact",0.531587028334344,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0800785954760533,0.00342218748773385,0.00323741026810535,"Metabolism of xenobiotics by cytochrome P450","Xenobiotics biodegradation and metabolism","Metabolism"
"162",162,"ko00410","LinDA","Defoliation","Intact",0.843818788797631,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0272663514149435,0.00487300269564574,0.00478176976848969,"beta-Alanine metabolism","Metabolism of other amino acids","Metabolism"
"163",163,"ko00983","LinDA","Defoliation","Intact",0.768165849931592,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0449773214846917,0.00328630232099745,0.00318542944823346,"Drug metabolism - other enzymes","Xenobiotics biodegradation and metabolism","Metabolism"
"165",165,"ko00791","LinDA","Defoliation","Intact",0.634473147606593,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0934081833433401,0.000670126527476997,0.000628113525117297,"Atrazine degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"166",166,"ko00790","LinDA","Defoliation","Intact",0.967697063510559,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.00109323384197673,0.00507687652844483,0.00508072510108445,"Folate biosynthesis","Metabolism of cofactors and vitamins","Metabolism"
"168",168,"ko00020","LinDA","Defoliation","Intact",0.91576821466353,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.00550808972575121,0.0143761280385865,0.0144311198104671,"Citrate cycle (TCA cycle)","Carbohydrate metabolism","Metabolism"
"169",169,"ko00710","LinDA","Defoliation","Intact",0.716270764732628,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0336648313523216,0.00843957954181931,0.00863883013824901,"Carbon fixation in photosynthetic organisms","Energy metabolism","Metabolism"
"170",170,"ko02060","LinDA","Defoliation","Intact",0.866365045275861,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0316475267583206,0.00263591935310246,0.00257872638495295,"Phosphotransferase system (PTS)","Membrane transport","Environmental Information Processing"
"171",171,"ko00340","LinDA","Defoliation","Intact",0.838411604663365,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0156676726279646,0.00838690706583915,0.00847848527238779,"Histidine metabolism","Amino acid metabolism","Metabolism"
"172",172,"ko00785","LinDA","Defoliation","Intact",0.934353278166243,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.00551034057142754,0.00126760070010838,0.00127245152978605,"Lipoic acid metabolism","Metabolism of cofactors and vitamins","Metabolism"
"173",173,"ko00550","LinDA","Defoliation","Intact",0.958100101964168,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.000418711435122822,0.0111757432032788,0.0111789871948764,"Peptidoglycan biosynthesis","Glycan biosynthesis and metabolism","Metabolism"
"174",174,"ko00650","LinDA","Defoliation","Intact",0.865796907009466,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0155113284235384,0.012999542255827,0.013140062628785,"Butanoate metabolism","Carbohydrate metabolism","Metabolism"
