feature,level1,level2,level3
ko01062,Biosynthesis of terpenoids and steroids,Chemical structure transformation maps,Metabolism
ko01063,Biosynthesis of alkaloids derived from shikimate pathway,Chemical structure transformation maps,Metabolism
ko01064,"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Chemical structure transformation maps,Metabolism
ko01065,Biosynthesis of alkaloids derived from histidine and purine,Chemical structure transformation maps,Metabolism
ko01066,Biosynthesis of alkaloids derived from terpenoid and polyketide,Chemical structure transformation maps,Metabolism
ko01070,Biosynthesis of plant hormones,Chemical structure transformation maps,Metabolism
ko03020,RNA polymerase,Transcription,Genetic Information Processing
ko03022,Basal transcription factors,Transcription,Genetic Information Processing
ko03040,Spliceosome,Transcription,Genetic Information Processing
ko03010,Ribosome,Translation,Genetic Information Processing
ko00970,Aminoacyl-tRNA biosynthesis,Translation,Genetic Information Processing
ko03013,RNA transport,Translation,Genetic Information Processing
ko03015,mRNA surveillance pathway,Translation,Genetic Information Processing
ko03008,Ribosome biogenesis in eukaryotes,Translation,Genetic Information Processing
ko03060,Protein export,"Folding, sorting and degradation",Genetic Information Processing
ko04141,Protein processing in endoplasmic reticulum,"Folding, sorting and degradation",Genetic Information Processing
ko04130,SNARE interactions in vesicular transport,"Folding, sorting and degradation",Genetic Information Processing
ko04120,Ubiquitin mediated proteolysis,"Folding, sorting and degradation",Genetic Information Processing
ko04122,Sulfur relay system,"Folding, sorting and degradation",Genetic Information Processing
ko03050,Proteasome,"Folding, sorting and degradation",Genetic Information Processing
ko03018,RNA degradation,"Folding, sorting and degradation",Genetic Information Processing
ko03030,DNA replication,Replication and repair,Genetic Information Processing
ko03410,Base excision repair,Replication and repair,Genetic Information Processing
ko03420,Nucleotide excision repair,Replication and repair,Genetic Information Processing
ko03430,Mismatch repair,Replication and repair,Genetic Information Processing
ko03440,Homologous recombination,Replication and repair,Genetic Information Processing
ko03450,Non-homologous end-joining,Replication and repair,Genetic Information Processing
ko03460,Fanconi anemia pathway,Replication and repair,Genetic Information Processing
ko02010,ABC transporters,Membrane transport,Environmental Information Processing
ko02060,Phosphotransferase system (PTS),Membrane transport,Environmental Information Processing
ko03070,Bacterial secretion system,Membrane transport,Environmental Information Processing
ko02020,Two-component system,Signal transduction,Environmental Information Processing
ko04014,Ras signaling pathway,Signal transduction,Environmental Information Processing
ko04015,Rap1 signaling pathway,Signal transduction,Environmental Information Processing
ko04010,MAPK signaling pathway,Signal transduction,Environmental Information Processing
ko04013,MAPK signaling pathway - fly,Signal transduction,Environmental Information Processing
ko04016,MAPK signaling pathway - plant,Signal transduction,Environmental Information Processing
ko04011,MAPK signaling pathway - yeast,Signal transduction,Environmental Information Processing
ko04012,ErbB signaling pathway,Signal transduction,Environmental Information Processing
ko04310,Wnt signaling pathway,Signal transduction,Environmental Information Processing
ko04330,Notch signaling pathway,Signal transduction,Environmental Information Processing
ko04340,Hedgehog signaling pathway,Signal transduction,Environmental Information Processing
ko04341,Hedgehog signaling pathway - fly,Signal transduction,Environmental Information Processing
ko04350,TGF-beta signaling pathway,Signal transduction,Environmental Information Processing
ko04390,Hippo signaling pathway,Signal transduction,Environmental Information Processing
ko04391,Hippo signaling pathway - fly,Signal transduction,Environmental Information Processing
ko04392,Hippo signaling pathway - multiple species,Signal transduction,Environmental Information Processing
ko04370,VEGF signaling pathway,Signal transduction,Environmental Information Processing
ko04371,Apelin signaling pathway,Signal transduction,Environmental Information Processing
ko04630,Jak-STAT signaling pathway,Signal transduction,Environmental Information Processing
ko04064,NF-kappa B signaling pathway,Signal transduction,Environmental Information Processing
ko04668,TNF signaling pathway,Signal transduction,Environmental Information Processing
ko04066,HIF-1 signaling pathway,Signal transduction,Environmental Information Processing
ko04068,FoxO signaling pathway,Signal transduction,Environmental Information Processing
ko04020,Calcium signaling pathway,Signal transduction,Environmental Information Processing
ko04070,Phosphatidylinositol signaling system,Signal transduction,Environmental Information Processing
ko04072,Phospholipase D signaling pathway,Signal transduction,Environmental Information Processing
ko04071,Sphingolipid signaling pathway,Signal transduction,Environmental Information Processing
ko04024,cAMP signaling pathway,Signal transduction,Environmental Information Processing
ko04022,cGMP-PKG signaling pathway,Signal transduction,Environmental Information Processing
ko04151,PI3K-Akt signaling pathway,Signal transduction,Environmental Information Processing
ko04152,AMPK signaling pathway,Signal transduction,Environmental Information Processing
ko04150,mTOR signaling pathway,Signal transduction,Environmental Information Processing
ko04075,Plant hormone signal transduction,Signal transduction,Environmental Information Processing
ko04080,Neuroactive ligand-receptor interaction,Signaling molecules and interaction,Environmental Information Processing
ko04060,Cytokine-cytokine receptor interaction,Signaling molecules and interaction,Environmental Information Processing
ko04061,Viral protein interaction with cytokine and cytokine receptor,Signaling molecules and interaction,Environmental Information Processing
ko04512,ECM-receptor interaction,Signaling molecules and interaction,Environmental Information Processing
ko04514,Cell adhesion molecules (CAMs),Signaling molecules and interaction,Environmental Information Processing
ko04144,Endocytosis,Transport and catabolism,Cellular Processes
ko04145,Phagosome,Transport and catabolism,Cellular Processes
ko04142,Lysosome,Transport and catabolism,Cellular Processes
ko04146,Peroxisome,Transport and catabolism,Cellular Processes
ko04140,Autophagy - animal,Transport and catabolism,Cellular Processes
ko04138,Autophagy - yeast,Transport and catabolism,Cellular Processes
ko04136,Autophagy - other,Transport and catabolism,Cellular Processes
ko04137,Mitophagy - animal,Transport and catabolism,Cellular Processes
ko04139,Mitophagy - yeast,Transport and catabolism,Cellular Processes
ko04110,Cell cycle,Cell growth and death,Cellular Processes
ko04111,Cell cycle - yeast,Cell growth and death,Cellular Processes
ko04112,Cell cycle - Caulobacter,Cell growth and death,Cellular Processes
ko04113,Meiosis - yeast,Cell growth and death,Cellular Processes
ko04114,Oocyte meiosis,Cell growth and death,Cellular Processes
ko04210,Apoptosis,Cell growth and death,Cellular Processes
ko04214,Apoptosis - fly,Cell growth and death,Cellular Processes
ko04215,Apoptosis - multiple species,Cell growth and death,Cellular Processes
ko04216,Ferroptosis,Cell growth and death,Cellular Processes
ko04217,Necroptosis,Cell growth and death,Cellular Processes
ko04115,p53 signaling pathway,Cell growth and death,Cellular Processes
ko04218,Cellular senescence,Cell growth and death,Cellular Processes
ko04510,Focal adhesion,Cellular community - eukaryotes,Cellular Processes
ko04520,Adherens junction,Cellular community - eukaryotes,Cellular Processes
ko04530,Tight junction,Cellular community - eukaryotes,Cellular Processes
ko04540,Gap junction,Cellular community - eukaryotes,Cellular Processes
ko04550,Signaling pathways regulating pluripotency of stem cells,Cellular community - eukaryotes,Cellular Processes
ko02024,Quorum sensing,Cellular community - prokaryotes,Cellular Processes
ko05111,Biofilm formation - Vibrio cholerae,Cellular community - prokaryotes,Cellular Processes
ko02025,Biofilm formation - Pseudomonas aeruginosa,Cellular community - prokaryotes,Cellular Processes
ko02026,Biofilm formation - Escherichia coli,Cellular community - prokaryotes,Cellular Processes
ko02030,Bacterial chemotaxis,Cell motility,Cellular Processes
ko02040,Flagellar assembly,Cell motility,Cellular Processes
ko04810,Regulation of actin cytoskeleton,Cell motility,Cellular Processes
ko04640,Hematopoietic cell lineage,Immune system,Organismal Systems
ko04610,Complement and coagulation cascades,Immune system,Organismal Systems
ko04611,Platelet activation,Immune system,Organismal Systems
ko04620,Toll-like receptor signaling pathway,Immune system,Organismal Systems
ko04624,Toll and Imd signaling pathway,Immune system,Organismal Systems
ko04621,NOD-like receptor signaling pathway,Immune system,Organismal Systems
ko04622,RIG-I-like receptor signaling pathway,Immune system,Organismal Systems
ko04623,Cytosolic DNA-sensing pathway,Immune system,Organismal Systems
ko04625,C-type lectin receptor signaling pathway,Immune system,Organismal Systems
ko04650,Natural killer cell mediated cytotoxicity,Immune system,Organismal Systems
ko04612,Antigen processing and presentation,Immune system,Organismal Systems
ko04660,T cell receptor signaling pathway,Immune system,Organismal Systems
ko04658,Th1 and Th2 cell differentiation,Immune system,Organismal Systems
ko04659,Th17 cell differentiation,Immune system,Organismal Systems
ko04657,IL-17 signaling pathway,Immune system,Organismal Systems
ko04662,B cell receptor signaling pathway,Immune system,Organismal Systems
ko04664,Fc epsilon RI signaling pathway,Immune system,Organismal Systems
ko04666,Fc gamma R-mediated phagocytosis,Immune system,Organismal Systems
ko04670,Leukocyte transendothelial migration,Immune system,Organismal Systems
ko04672,Intestinal immune network for IgA production,Immune system,Organismal Systems
ko04062,Chemokine signaling pathway,Immune system,Organismal Systems
ko04911,Insulin secretion,Endocrine system,Organismal Systems
ko04910,Insulin signaling pathway,Endocrine system,Organismal Systems
ko04922,Glucagon signaling pathway,Endocrine system,Organismal Systems
ko04923,Regulation of lipolysis in adipocytes,Endocrine system,Organismal Systems
ko04920,Adipocytokine signaling pathway,Endocrine system,Organismal Systems
ko03320,PPAR signaling pathway,Endocrine system,Organismal Systems
ko04929,GnRH secretion,Endocrine system,Organismal Systems
ko04912,GnRH signaling pathway,Endocrine system,Organismal Systems
ko04913,Ovarian steroidogenesis,Endocrine system,Organismal Systems
ko04915,Estrogen signaling pathway,Endocrine system,Organismal Systems
ko04914,Progesterone-mediated oocyte maturation,Endocrine system,Organismal Systems
ko04917,Prolactin signaling pathway,Endocrine system,Organismal Systems
ko04921,Oxytocin signaling pathway,Endocrine system,Organismal Systems
ko04926,Relaxin signaling pathway,Endocrine system,Organismal Systems
ko04935,"Growth hormone synthesis, secretion and action",Endocrine system,Organismal Systems
ko04918,Thyroid hormone synthesis,Endocrine system,Organismal Systems
ko04919,Thyroid hormone signaling pathway,Endocrine system,Organismal Systems
ko04928,"Parathyroid hormone synthesis, secretion and action",Endocrine system,Organismal Systems
ko04916,Melanogenesis,Endocrine system,Organismal Systems
ko04924,Renin secretion,Endocrine system,Organismal Systems
ko04614,Renin-angiotensin system,Endocrine system,Organismal Systems
ko04925,Aldosterone synthesis and secretion,Endocrine system,Organismal Systems
ko04927,Cortisol synthesis and secretion,Endocrine system,Organismal Systems
ko04260,Cardiac muscle contraction,Circulatory system,Organismal Systems
ko04261,Adrenergic signaling in cardiomyocytes,Circulatory system,Organismal Systems
ko04270,Vascular smooth muscle contraction,Circulatory system,Organismal Systems
ko04970,Salivary secretion,Digestive system,Organismal Systems
ko04971,Gastric acid secretion,Digestive system,Organismal Systems
ko04972,Pancreatic secretion,Digestive system,Organismal Systems
ko04976,Bile secretion,Digestive system,Organismal Systems
ko04973,Carbohydrate digestion and absorption,Digestive system,Organismal Systems
ko04974,Protein digestion and absorption,Digestive system,Organismal Systems
ko04975,Fat digestion and absorption,Digestive system,Organismal Systems
ko04979,Cholesterol metabolism,Digestive system,Organismal Systems
ko04977,Vitamin digestion and absorption,Digestive system,Organismal Systems
ko04978,Mineral absorption,Digestive system,Organismal Systems
ko04962,Vasopressin-regulated water reabsorption,Excretory system,Organismal Systems
ko04960,Aldosterone-regulated sodium reabsorption,Excretory system,Organismal Systems
ko04961,Endocrine and other factor-regulated calcium reabsorption,Excretory system,Organismal Systems
ko04964,Proximal tubule bicarbonate reclamation,Excretory system,Organismal Systems
ko04966,Collecting duct acid secretion,Excretory system,Organismal Systems
ko04724,Glutamatergic synapse,Nervous system,Organismal Systems
ko04727,GABAergic synapse,Nervous system,Organismal Systems
ko04725,Cholinergic synapse,Nervous system,Organismal Systems
ko04728,Dopaminergic synapse,Nervous system,Organismal Systems
ko04726,Serotonergic synapse,Nervous system,Organismal Systems
ko04720,Long-term potentiation,Nervous system,Organismal Systems
ko04730,Long-term depression,Nervous system,Organismal Systems
ko04723,Retrograde endocannabinoid signaling,Nervous system,Organismal Systems
ko04721,Synaptic vesicle cycle,Nervous system,Organismal Systems
ko04722,Neurotrophin signaling pathway,Nervous system,Organismal Systems
ko04744,Phototransduction,Sensory system,Organismal Systems
ko04745,Phototransduction - fly,Sensory system,Organismal Systems
ko04740,Olfactory transduction,Sensory system,Organismal Systems
ko04742,Taste transduction,Sensory system,Organismal Systems
ko04750,Inflammatory mediator regulation of TRP channels,Sensory system,Organismal Systems
ko04320,Dorso-ventral axis formation,Development and regeneration,Organismal Systems
ko04360,Axon guidance,Development and regeneration,Organismal Systems
ko04361,Axon regeneration,Development and regeneration,Organismal Systems
ko04380,Osteoclast differentiation,Development and regeneration,Organismal Systems
ko04211,Longevity regulating pathway,Aging,Organismal Systems
ko04212,Longevity regulating pathway - worm,Aging,Organismal Systems
ko04213,Longevity regulating pathway - multiple species,Aging,Organismal Systems
ko04710,Circadian rhythm,Environmental adaptation,Organismal Systems
ko04713,Circadian entrainment,Environmental adaptation,Organismal Systems
ko04711,Circadian rhythm - fly,Environmental adaptation,Organismal Systems
ko04712,Circadian rhythm - plant,Environmental adaptation,Organismal Systems
ko04714,Thermogenesis,Environmental adaptation,Organismal Systems
ko04626,Plant-pathogen interaction,Environmental adaptation,Organismal Systems
ko05200,Pathways in cancer,Cancer: overview,Human Diseases
ko05202,Transcriptional misregulation in cancer,Cancer: overview,Human Diseases
ko05206,MicroRNAs in cancer,Cancer: overview,Human Diseases
ko05205,Proteoglycans in cancer,Cancer: overview,Human Diseases
ko05204,Chemical carcinogenesis,Cancer: overview,Human Diseases
ko05203,Viral carcinogenesis,Cancer: overview,Human Diseases
ko05230,Central carbon metabolism in cancer,Cancer: overview,Human Diseases
ko05231,Choline metabolism in cancer,Cancer: overview,Human Diseases
ko05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,Cancer: overview,Human Diseases
ko05210,Colorectal cancer,Cancer: specific types,Human Diseases
ko05212,Pancreatic cancer,Cancer: specific types,Human Diseases
ko05225,Hepatocellular carcinoma,Cancer: specific types,Human Diseases
ko05226,Gastric cancer,Cancer: specific types,Human Diseases
ko05214,Glioma,Cancer: specific types,Human Diseases
